english,french,russian
This is simple sentence,C'est une phrase simple,Это простое предложение
I dont like it,Je n'aime pas ça,Мне это не нравится
you dont like it,Vous n'aimez pas ça,тебе не нравится
we dont like it,Nous ne l'aimons pas,нам это не нравится
everyone wants it,Tout le monde veut ça,Все этого хотят
"You look good, boy","Tu as l'air bien, garçon","Ты выглядишь хорошо, мальчик"
This is not true,Ce n'est pas vrai,Это неправда
I would like to tell you about it,Je voudrais vous en dire à ce sujet,Я хотел бы рассказать вам об этом
Let me get things done,Laissez-moi faire des choses,Позвольте мне сделать вещи
I don't watch such kinds of movies,Je ne regarde pas de tels types de films,Я не смотрю такие фильмы
I have asked him to help me urgently,Je lui ai demandé de m'aider de toute urgence,Я попросил его помочь мне срочно
I want to be free,je veux être libre,я хочу быть свободным
He was fitting with me,Il aidée avec moi,Он умел со мной
Today was a good day,Aujourd'hui était un bon jour,Сегодня был хороший день
don't ask me about it!,Ne me demandez pas de ça!,Не спрашивай меня об этом!
Will you be there with your friend?,Serez-vous là avec votre ami?,Будете ли вы там со своим другом?
Will you go with me together?,Voulez-vous aller avec moi ensemble?,Будете ли вы пойти со мной вместе?
Could you tell me how much time is right now?,Pourriez-vous me dire combien de temps est en ce moment?,"Не могли бы вы сказать мне, сколько времени сейчас?"
How much does it cost?,Combien ça coûte?,Сколько это стоит?
You are pretty interesting and also beautiful,Tu es assez intéressant et aussi beau,"Вы довольно интересные, а также красивые"
Let me say it,Laissez-moi le dire,Позвольте мне сказать это
I will not pay for it too much,Je ne paierai pas trop pour ça,Я не буду платить за это слишком много
I will not go with you,Je n'irai pas avec vous,Я не пойду с вами
I will go,j'irai,я пойду
He says it is the best choice,Il dit que c'est le meilleur choix,"Он говорит, что это лучший выбор"
Good choice!,Bon choix!,Хороший выбор!
"How is it going, madam?","Comment ça va, madame?","Как дела, мадам?"
Looks good!,Cela semble bon!,Выглядит неплохо!
Should I care?,Devrais-je me soucier?,Должен ли я заботиться?
Let me go there now!,Laissez-moi y aller maintenant!,Позвольте мне идти туда сейчас!
How good is it?,Comme c'est bon?,Насколько это хорошо?
Will you go with me?,Voulez-vous aller avec moi?,Ты поидешь со мной?
Do you like it?,Aimez-vous?,Вам нравится это?
She doesn't want to go with me,Elle ne veut pas aller avec moi,Она не хочет идти со мной
"Yesterday, I was walking with my frieds","Hier, je marchais avec mes frites",Вчера я шел с жареными
She want to be with me,Elle veut être avec moi,Она хочет быть со мной
How is it going?,Comment ça se passe?,Как дела?
"Could you speak more slowly, please?",Pouvez vous parler plus lentement s'il vous plaît?,"Не могли бы вы говорить медленнее, пожалуйста?"
What is it?,Qu'est-ce que c'est?,Что это?
Do you like it?,Aimez-vous?,Вам нравится это?
What do you think about it?,Qu'est-ce que tu en penses?,Что вы думаете об этом?
"But how, I dont understand","Mais comment, je ne comprends pas","Но как, я не понимаю"
What was that?,Ca c'était quoi?,Что это было?
How do you make it?,Comment faites-vous cela?,Как ты это делаешь?
It sounds weird,Ça sonne bizarre,Это звучит странно
Are you ok?,Ça va?,Ты в порядке?
This is too much,C'est trop,Это слишком
This is so cool,C'est trop cool,Это так круто
I dont even know it,Je ne le sais même pas,Я даже не знаю это
I get it,je comprends,Я понимаю
We dont understand him,Nous ne le comprenons pas,Мы его не понимаем
It is what it is,C'est comme ça,"Что есть, то есть"
I dont want it,Je ne le veux pas,Я не хочу этого
What if you say it to him?,Et si vous le dites-le?,"Что, если вы говорите это ему?"
But what if?,Mais si?,"Но что, если?"
but If you go there?,Mais si vous y allez là-bas?,Но если вы идете туда?
This is interesting but I will not go there,C'est intéressant mais je ne vais pas y aller,"Это интересно, но я не пойду туда"
This is impossible,C'est impossible,Это невозможно
This is possible,C'est possible,Это возможно
Maybe you are right,Peut-être que tu as raison,Может быть ты прав
Probably it is the best decision,Probablement c'est la meilleure décision,"Вероятно, это лучшее решение"
Probably you are right,Probablement vous avez raison,"Возможно, вы правы"
Probably It is ok for him,Probablement ça va pour lui,"Вероятно, это нормально для него"
Probably I will be tomorrow,Probablement je serai demain,"Наверное, я буду завтра"
I dont remember it,Je ne me souviens pas,Я не помню это
I dont remember,Je ne me souviens pas,Я не помню
I dont want to say it right now,Je ne veux pas le dire maintenant,Я не хочу говорить это прямо сейчас
"Now it is ok, but after it is not","Maintenant ça va, mais après ce n'est pas","Теперь это нормально, но после этого не"
I will go with with you,Je vais aller avec toi,Я пойду с тобой
You will go with me ,Tu vas aller avec moi,Ты пойдешь со мной
I will try to do it,J'essaierai de le faire,Я постараюсь сделать это
You will pay for it,Vous allez payer pour cela,Вы заплатите за это
What do you think is the best for me?,Que pensez-vous est le meilleur pour moi?,"Как вы думаете, это лучшее для меня?"
Do you like me?,M'aimez-vous?,Я вам нравлюсь?
Will you speak with me?,Voulez-vous parler avec moi?,Ты будешь говорить со мной?
Did you tell him?,Lui avez-vous dit?,Ты рассказал ему?
Did you like him?,L'avez-vous aimé?,Тебе тебе понравился?
Did you like her?,L'avez-vous aimé?,Тебе тебе понравилось?
Did you give it to me?,L'avez-vous donné à moi?,Вы дали это мне?
What about me?,Et moi?,А что я?
I dont know,je ne sais pas,я не знаю
You dont know,Vous ne savez pas,Вы не знаете
I will not go there,Je n'irai pas là,Я не пойду туда
I want to visit new city,Je veux visiter une nouvelle ville,Я хочу посетить новый город
It was my day,C'était ma journée,Это был мой день
What will you do tomorrow?,Que vas-tu faire demain?,Что будешь делать завтра?
What is this?,Qu'est-ce que c'est?,Что это?
Is this ok?,Est-ce correct?,Это нормально?
Are you sure?,Es-tu sûr?,Вы уверены?
"Of cource, I know how to work","De cource, je sais comment travailler","CURCE, я знаю, как работать"
I know that you are my friend,Je sais que tu es mon ami,"Я знаю, что ты мой друг"
I know that it is ok ,Je sais que ça va,"Я знаю, что это нормально"
I know how much it costs,Je sais combien ça coûte,"Я знаю, сколько это стоит"
I think it is ok to say,Je pense que c'est bien de dire,"Я думаю, что это нормально, чтобы сказать"
I think it is ok to speak with other people,Je pense que c'est bien de parler avec d'autres personnes,"Я думаю, что это нормально, чтобы говорить с другими людьми"
I think you can do this freely,Je pense que vous pouvez le faire librement,"Я думаю, что вы можете сделать это свободно"
I dont know how to study,Je ne sais pas comment étudier,"Я не знаю, как учиться"
I do study very well,J'étudie très bien,Я очень хорошо изучаю
If I want it I will get it ,"Si je le veux, je vais l'obtenir","Если я хочу это, я получу это"
You dont know about it,Vous ne savez pas à ce sujet,Вы не знаете об этом
What do you think about it now?,Qu'en pensez-vous maintenant?,Что вы думаете об этом сейчас?
This is my bag,C'est mon sac,Это моя сумка
This is my car,C'est ma voiture,Это моя машина
She is my girfriend,Elle est mon girfriend,Она моя подруга
This is ok,C'est acceptable,Хорошо
This is our city,C'est notre ville,Это наш город
This is our country,C'est notre pays,Это наша страна
I think it is better ,Je pense que c'est mieux,"Я думаю, что это лучше"
I want new computer ,Je veux un nouvel ordinateur,Я хочу новый компьютер
My computer doesnt work,Mon ordinateur ne fonctionne pas,Мой компьютер не работает
I can speak freely ,Je peux parler librement,Я могу свободно говорить
I can speak with you,Je peux parler avec toi,Я могу поговорить с тобой
I can do this ,je peux le faire,я могу сделать это
I can say him about it ,Je peux lui dire à ce sujet,Я могу сказать ему об этом
I can go there ,je peux y aller,Я могу пойти туда туда
I want go there ,Je veux y aller,Я хочу пойти туда
I want to be there ,je veux être là,я хочу быть там
I want this ,Je veux ceci,я хочу этот
I want that,Je veux cela,Я хочу чтобы
I want to tell you about it,Je veux vous en dire à ce sujet,Я хочу рассказать вам об этом
I want to be here,Je veux être ici,Я хочу быть здесь
Who are you?,Qui es-tu?,Кто ты?
Who is this?,Qui est-ce?,Это кто?
Who can be there?,Qui peut être là?,Кто может быть там?
Who will be there?,Qui sera là?,Кто будет там?
Who was there?,Qui était là?,Кто был здесь?
What it this?,Qu'est-ce que c'est?,Что это?
Where is this?,Où est-ce?,Где это?
Where will you be today?,Où serez-vous aujourd'hui?,Где ты будешь сегодня?
Where are you?,Où es-tu?,Где ты?
Where is it?,Où est-ce?,Где это находится?
Where is my bag?,Ou est mon sac?,Где моя сумка?