level,english,french,russian
1,This is simple sentence,C'est une phrase simple,Это простое предложение
1,I dont like it,Je n'aime pas ça,Мне это не нравится
1,you dont like it,Vous n'aimez pas ça,тебе не нравится
1,we dont like it,Nous ne l'aimons pas,нам это не нравится
1,everyone wants it,Tout le monde veut ça,все этого хотят
1,"You look good, boy","Tu as l'air bien, garçon","Ты выглядишь хорошо, мальчик"
1,This is not true,Ce n'est pas vrai,Это неправда
1,I would like to tell you about it,Je voudrais vous en dire à ce sujet,Я хотел бы рассказать вам об этом
1,Let me get things done,Laissez-moi faire des choses,Позвольте мне сделать вещи
2,I don't watch such kinds of movies,Je ne regarde pas de tels types de films,Я не смотрю такие фильмы
2,I have asked him to help me urgently,Je lui ai demandé de m'aider de toute urgence,Я попросил его помочь мне срочно
1,I want to be free,je veux être libre,я хочу быть свободным
1,He was fitting with me,Il aidée avec moi,Он умел со мной
1,Today was a good day,Aujourd'hui était un bon jour,Сегодня был хороший день
1,don't ask me about it!,Ne me demandez pas de ça!,Не спрашивай меня об этом!
2,Will you be there with your friend?,Serez-vous là avec votre ami?,Будете ли вы там со своим другом?
1,Will you go with me together?,Voulez-vous aller avec moi ensemble?,Будете ли вы пойти со мной вместе?
2,Could you tell me how much time is right now?,Pourriez-vous me dire combien de temps est en ce moment?,"Не могли бы вы сказать мне, сколько времени сейчас?"
1,How much does it cost?,Combien ça coûte?,Сколько это стоит?
2,You are pretty interesting and also beautiful,Tu es assez intéressant et aussi beau,"Вы довольно интересные, а также красивые"
1,Let me say it,Laissez-moi le dire,Позвольте мне сказать это
1,I will not pay for it too much,Je ne paierai pas trop pour ça,Я не буду платить за это слишком много
1,I will not go with you,Je n'irai pas avec vous,Я не пойду с вами
1,I will go,j'irai,я пойду
1,He says it is the best choice,Il dit que c'est le meilleur choix,"Он говорит, что это лучший выбор"
1,Good choice!,Bon choix!,Хороший выбор!
1,"How is it going, madam?","Comment ça va, madame?","Как дела, мадам?"
1,Looks good!,Cela semble bon!,Выглядит неплохо!
1,Should I care?,Devrais-je me soucier?,Должен ли я заботиться?
1,Let me go there now!,Laissez-moi y aller maintenant!,Позвольте мне идти туда сейчас!
1,How good is it?,Comme c'est bon?,Насколько это хорошо?
1,Will you go with me?,Voulez-vous aller avec moi?,Ты поидешь со мной?
1,Do you like it?,Aimez-vous?,Вам нравится это?
1,She doesn't want to go with me,Elle ne veut pas aller avec moi,Она не хочет идти со мной
2,"Yesterday, I was walking with my frieds","Hier, je marchais avec mes frites",Вчера я шел с жареными
1,She want to be with me,Elle veut être avec moi,Она хочет быть со мной
1,How is it going?,Comment ça se passe?,Как дела?
1,"Could you speak more slowly, please?",Pouvez vous parler plus lentement s'il vous plaît?,"Не могли бы вы говорить медленнее, пожалуйста?"
1,What is it?,Qu'est-ce que c'est?,Что это?
1,Do you like it?,Aimez-vous?,Вам нравится это?
1,What do you think about it?,Qu'est-ce que tu en penses?,Что вы думаете об этом?
1,"But how, I dont understand","Mais comment, je ne comprends pas","Но как, я не понимаю"
1,What was that?,Ca c'était quoi?,Что это было?
1,How do you make it?,Comment faites-vous cela?,Как ты это делаешь?
2,It sounds weird,Ça sonne bizarre,Это звучит странно
1,Are you ok?,Ça va?,Ты в порядке?
1,This is too much,C'est trop,Это слишком
1,This is so cool,C'est trop cool,Это так круто
1,I dont even know it,Je ne le sais même pas,Я даже не знаю это
1,I get it,je comprends,Я понимаю
1,We dont understand him,Nous ne le comprenons pas,Мы его не понимаем
1,It is what it is,C'est comme ça,"Что есть, то есть"
1,I dont want it,Je ne le veux pas,Я не хочу этого
2,What if you say it to him?,Et si vous le dites-le?,"Что, если вы говорите это ему?"
1,But what if?,Mais si?,"Но что, если?"
1,but If you go there?,Mais si vous y allez là-bas?,Но если вы идете туда?
1,This is interesting but I will not go there,C'est intéressant mais je ne vais pas y aller,"Это интересно, но я не пойду туда"
1,This is impossible,C'est impossible,Это невозможно
1,This is possible,C'est possible,Это возможно
1,Maybe you are right,Peut-être que tu as raison,Может быть ты прав
1,Probably it is the best decision,Probablement c'est la meilleure décision,"Вероятно, это лучшее решение"
1,Probably you are right,Probablement vous avez raison,"Возможно, вы правы"
1,Probably It is ok for him,Probablement ça va pour lui,"Вероятно, это нормально для него"
2,Probably I will be tomorrow,Probablement je serai demain,"Наверное, я буду завтра"
1,I dont remember this,Je ne me souviens pas de ça,Я не помню это
1,I dont remember,Je ne me souviens pas,Я не помню
1,I dont want to say it right now,Je ne veux pas le dire maintenant,Я не хочу говорить это прямо сейчас
2,"Now it is ok, but after it is not","Maintenant ça va, mais après ce n'est pas","Теперь это нормально, но после этого не"
2,I will go with you,j'irais avec toi,я пойду с тобой
1,You will go with me ,Tu vas aller avec moi,Ты пойдешь со мной
1,I will try to do it,J'essaierai de le faire,Я постараюсь сделать это
1,You will pay for it,Vous allez payer pour cela,Вы заплатите за это
2,What do you think is the best for me?,Que pensez-vous est le meilleur pour moi?,"Как вы думаете, это лучшее для меня?"
1,Do you like me?,M'aimez-vous?,Я вам нравлюсь?
1,Will you speak with me?,Voulez-vous parler avec moi?,Ты будешь говорить со мной?
1,Did you tell him?,Lui avez-vous dit?,Ты рассказал ему?
1,Did you like him?,L'avez-vous aimé?,Тебе тебе понравился?
1,Did you like her?,L'avez-vous aimé?,Тебе тебе понравилось?
1,Did you give it to me?,L'avez-vous donné à moi?,Вы дали это мне?
1,What about me?,Et moi?,А что я?
1,I dont know,je ne sais pas,я не знаю
1,You dont know,Vous ne savez pas,Вы не знаете
1,I will not go there,Je n'irai pas là,Я не пойду туда
1,I want to visit new city,Je veux visiter une nouvelle ville,Я хочу посетить новый город
1,It was my day,C'était ma journée,Это был мой день
1,What will you do tomorrow?,Que vas-tu faire demain?,Что будешь делать завтра?
1,What is this?,Qu'est-ce que c'est?,Что это?
1,Is this ok?,Est-ce correct?,Это нормально?
1,Are you sure?,Es-tu sûr?,Вы уверены?
2,"Of course, I know how to work","Bien sûr, je sais comment travailler","Конечно, я знаю, как работать"
1,I know that you are my friend,Je sais que tu es mon ami,"Я знаю, что ты мой друг"
1,I know that it is ok ,Je sais que ça va,"Я знаю, что это нормально"
1,I know how much it costs,Je sais combien ça coûte,"Я знаю, сколько это стоит"
1,I think it is ok to say,Je pense que c'est bien de dire,"Я думаю, что это нормально, чтобы сказать"
2,I think it is ok to speak with other people,Je pense que c'est bien de parler avec d'autres personnes,"Я думаю, что это нормально, чтобы говорить с другими людьми"
1,I think you can do this freely,Je pense que vous pouvez le faire librement,"Я думаю, что вы можете сделать это свободно"
1,I dont know how to study,Je ne sais pas comment étudier,"Я не знаю, как учиться"
1,I do study very well,J'étudie très bien,Я очень хорошо изучаю
1,If I want it I will get it ,"Si je le veux, je vais l'obtenir","Если я хочу это, я получу это"
1,You dont know about it,Vous ne savez pas à ce sujet,Вы не знаете об этом
1,What do you think about it now?,Qu'en pensez-vous maintenant?,Что вы думаете об этом сейчас?
1,This is my bag,C'est mon sac,Это моя сумка
1,This is my car,C'est ma voiture,Это моя машина
1,She is my girfriend,Elle est mon girfriend,Она моя подруга
1,This is ok,C'est acceptable,Хорошо
1,This is our city,C'est notre ville,Это наш город
1,This is our country,C'est notre pays,Это наша страна
1,I think it is better ,Je pense que c'est mieux,"Я думаю, что это лучше"
1,I want new computer ,Je veux un nouvel ordinateur,Я хочу новый компьютер
1,My computer doesnt work,Mon ordinateur ne fonctionne pas,Мой компьютер не работает
1,I can speak freely ,Je peux parler librement,Я могу свободно говорить
1,I can speak with you,Je peux parler avec toi,Я могу поговорить с тобой
1,I can do this ,je peux le faire,я могу сделать это
2,I can say him about it ,Je peux lui dire à ce sujet,Я могу сказать ему об этом
1,I can go there ,je peux y aller,Я могу пойти туда туда
1,I want go there ,Je veux y aller,Я хочу пойти туда
1,I want to be there ,je veux être là,я хочу быть там
1,I want this ,Je veux ceci,я хочу этот
1,I want that,Je veux cela,Я хочу чтобы
2,I want to tell you about it,Je veux vous en dire à ce sujet,Я хочу рассказать вам об этом
1,I want to be here,Je veux être ici,Я хочу быть здесь
1,Who are you?,Qui es-tu?,Кто ты?
1,Who is this?,Qui est-ce?,Это кто?
1,Who can be there?,Qui peut être là?,Кто может быть там?
1,Who will be there?,Qui sera là?,Кто будет там?
1,Who was there?,Qui était là?,Кто был здесь?
1,What it this?,Qu'est-ce que c'est?,Что это?
1,Where is this?,Où est-ce?,Где это?
1,Where will you be today?,Où serez-vous aujourd'hui?,Где ты будешь сегодня?
1,Where are you?,Où es-tu?,Где ты?
1,Where is it?,Où est-ce?,Где это находится?
1,Where is my bag?,Ou est mon sac?,Где моя сумка?
1,I want to visit a new country,Je veux visiter un nouveau pays,Я хочу посетить новую страну
1,My friend says it is normal,Mon ami dit que c'est normal,"Мой друг говорит, что это нормально"
1,I think you are right,je pense que tu as raison,я думаю ты прав
2,"Between us, I think it is a wrong way","Entre nous, je pense que c'est une mauvaise façon","Между нами я думаю, что это неправильно"
1,How to solve it?,Comment le résoudre?,Как решить это?
1,I am going to visit my university ,Je vais visiter mon université,Я собираюсь посетить мой университет
1,I want to speak with you ,je veux parler avec toi,я хочу поговорить с тобой
2,I want to tell you that I want to speak correctly in english,Je veux vous dire que je veux parler correctement en anglais,"Я хочу сказать вам, что я хочу правильно говорить на английском языке"
1,I am from russia,Je viens de Russie,Я из России
1,I am from USA,Je viens des Etats-Unis,я из США
1,I am from Desnogorsk ,Je viens de Desnogorsk,Я из Десногорска
1,I was born in Russia,Je suis né en Russie,Я родился в России
2,I dont speak russian but I can speak french and english  freely,Je ne parle pas russe mais je peux parler français et anglais librement,"Я не говорю по-русски, но я могу свободно говорить по-французски"
1,This is not what I wanted to say,Ce n'est pas ce que je voulais dire,"Это не то, что я хотел сказать"
1,It was perfect,C'était parfait,Это было идеально
2,I want to tell you that there is nothing to do,Je veux vous dire qu'il n'y a rien à faire,"Я хочу сказать вам, что нечего делать"
1,I want to be here forever ,Je veux être ici pour toujours,Я хочу быть здесь навсегда
1,I like to play chess,J'aime jouer aux échecs,Мне нравится играть в шахматы
1,I like to play tennis,J'aime jouer au tennis,мне нравится играть в теннис
1,I like programming in general ,J'aime la programmation en général,Мне нравится программирование в целом
1,I dont like waste a time ,Je n'aime pas les déchets un temps,Я не люблю тратить время
1,I love you,Je vous aime,Я люблю вас
1,I dont like it ,Je n'aime pas ça,Мне это не нравится
1,Thank you very much!,Merci beaucoup!,Большое спасибо!
1,Will you tell him? ,Voulez-vous lui dire?,Вы скажете ему?
1,Do you like it? ,Aimez-vous?,Вам нравится это?
1,How are you? ,Comment ca va?,Как дела?
1,What do you think about it?,Qu'est-ce que tu en penses?,Что вы думаете об этом?
1,Could you help me?,Pourriez-vous m'aider?,Не могли бы вы помочь мне?
2,Where is closest market?,Où se trouve le marché le plus proche?,Где ближайший рынок?
1,How can I find taxi? ,Comment puis-je trouver des taxis?,Как я могу найти такси?
1,Do you have an internet on your phone? ,Avez-vous un internet sur votre téléphone?,У вас есть интернет на вашем телефоне?
1,Where is police? ,Où est la police?,Где полиция?
1,Get out of here,Sors d'ici,Убирайся отсюда
1,What do you want to say? ,Qu'est-ce que tu veux dire?,Что вы хотите сказать?
1,When will you go there with you friend?,Quand allez-vous y aller avec votre ami?,Когда вы пойдете туда с вами другом?
1,Who is she? ,Qui est-elle?,Кто она?
1,Why do you like it?,Pourquoi l'aimes tu?,Почему тебе это нравится?
1,Why can not I do this?,Pourquoi ne peux-je pas faire ça?,Почему я не могу этого сделать?
1,This is a good car ,C'est une bonne voiture,Это хорошая машина
1,I like this car,J'aime cette voiture,Мне нравится эта машина
1,Because I think so,Parce que je le pense,Потому что я так думаю
2,Do you work because you need more money?,Travaillez-vous parce que vous avez besoin de plus d'argent?,"Вы работаете, потому что вам нужно больше денег?"
1,How much money do you have?,Combien d'argent as tu?,Сколько у тебя денег?
1,"Could you speak slowly, please?",Pourriez-vous parler lentement s'il vous plaît?,"Не могли бы вы говорить медленно, пожалуйста?"
1,Could you repeat please? ,Pouvez vous répéter s'il vous plait?,"Не могли бы вы повторить, пожалуйста?"
1,I dont understand when you speak so fast,Je ne comprends pas quand tu parles si vite,"Я не понимаю, когда ты говоришь так быстро"
1,Can you rephrase it?,Pouvez-vous le reformuler?,Можете ли вы перефразировать это?
1,I work with my friend there,Je travaille avec mon ami là-bas,Я работаю с моим другом там
1,This is very big building ,C'est très grand bâtiment,Это очень большое здание
1,I want a beer ,je veux une bière,Я хочу пива
1,Where can I buy a beer? ,Où puis-je acheter une bière?,Где я могу купить пиво?
1,Do you like to drink?,Aimes tu boire?,Вы хотели бы пить?
1,This is little mouse ,C'est une petite souris,Это маленькая мышь
1,Very little mouse,Très peu de souris,Очень маленькая мышь
1,This is very beautiful ,C'est très beau,Это очень красиво
1,This is what I want ,C'est ce que je veux,"Это то, что я хочу"
2,How can I call police? ,Comment puis-je appeler la police?,Как я могу назвать полицию?
1,What do you want? ,Qu'est-ce que vous voulez?,Чего ты хочешь?
1,I study at school,j'étudie à l'école,Я учусь в школе
1,I study by myself,J'étudie par moi-même,Я изучаю сам
1,I study at home ,j'étudie à la maison,Я учусь дома
1,I study very well,J'étudie très bien,Я очень хорошо изучаю
1,I study very bad ,J'étudie très mal,Я изучаю очень плохо
1,Very bad decision,Très mauvaise décision,Очень плохое решение
1,I think that he want to say you that it is the bad choice ,Je pense qu'il veut dire que c'est le mauvais choix,"Я думаю, что он хочет сказать вам, что это плохой выбор"
1,I keep working in my company,Je continue de travailler dans ma compagnie,Я продолжаю работать в моей компании